,mp_id,diel,gap,diel_completed_at,gap_completed_at,completed_at
Sr2YNbO6,mp-6019,28.95841882,4.7689,289496.708,283796.21,289496.708
Ba2ZrSnO6,mp-1228067,23.2520783,5.814400000000001,290327.368,288916.863,290327.368
CsNb(BO3)2,mp-6257,9.97098764,4.5803,291539.32,285723.305,291539.32
CaHfO3,mp-754853,24.327817433333337,6.1833,292946.145,292583.448,292946.145
Ca2ScTaO6,mp-1214081,27.65304442,5.4204,294393.0,288388.581,294393.0
Sr2NbInO6,mp-20222,21.415335630000005,5.0375,294467.207,290124.477,294467.207
KTa(BO3)2,mp-555150,11.94232702,5.203799999999999,295201.821,291254.595,295201.821
Sr3MgTa2O9,mp-1103508,39.76372322333333,4.812100000000001,296699.053,294467.69200000004,296699.053
CsTa(BO3)2,mp-9309,16.274026143333334,5.2807,297465.902,292945.427,297465.902
Ba3MgTa2O9,mp-6325,25.4013734,4.8058,298037.048,296179.899,298037.048
KTaO3,mp-3614,198.06937383,3.5917,301067.769,300701.042,301067.769
KTa2PO8,mp-773066,20.365946156666677,4.6135,303185.058,273412.485,303185.058
Ba3MgTaNbO9,mp-1228058,28.31792766,4.3593,304193.184,300338.422,304193.184
K4Hf5O12,mp-974482,16.415027926666667,4.6861,308299.108,305172.191,308299.108
K4Zr5O12,mp-27377,20.52652472333333,4.604699999999999,313190.288,311260.846,313190.288
Ca2ScNbO6,mp-1214125,33.436659956666674,4.6757,313739.615,310195.209,313739.615
Sr3Sc(BO3)3,mp-17562,10.909390183333334,6.744199999999999,318398.391,298587.191,318398.391
KNaLaTaO5,mp-861868,13.12891037,5.2164,325727.277,320198.956,325727.277
Ta3NO6,mp-1193678,34.423047016666665,3.3608,328007.047,223577.291,328007.047
K2Hf2O5,mp-1201301,13.15457108,6.1454,329474.236,329314.487,329474.236
KNbO3,mp-7375,48.34513985000001,3.4047,330631.934,329931.348,330631.934
K2SrTa2O7,mp-7148,36.16002340333333,3.5235,323100.959,330975.69,330975.69
LaSc3(BO3)4,mp-6217,14.208657886666668,6.5174,332983.522,307238.835,332983.522
Sr6YSc(BO3)6,mp-18043,10.51131496,6.683,337423.199,300143.498,337423.199
BaNaSc(BO3)2,mp-1182298,10.750132783333337,5.8993,339183.336,306772.123,339183.336
CaZrO3,mp-4571,30.54655963,5.6908,340968.497,338390.462,340968.497
MgTa2O6,mp-9650,28.704156063333333,4.363899999999999,341041.139,341189.769,341189.769
SrLaMgTaO6,mp-1218203,22.078034233333334,5.802800000000001,341747.953,321156.041,341747.953
Ta2Zn3O8,mp-28251,13.367728763333336,5.4105,351836.661,340528.122,351836.661
Ba2CdMoO6,mp-1207118,28.74635535,3.6458,352442.869,352406.744,352442.869
Ba3In2MoO9,mp-1228643,27.049010396666667,2.9279,356670.366,355320.785,356670.366
CaLaMgTaO6,mp-684801,21.581527663333336,5.8737,356815.267,335391.492,356815.267
CaSc2O4,mp-4056,20.478147263333334,5.2156,347467.333,358654.304,358654.304
HfGeO4,mp-9755,16.21656057,6.2016,360033.131,357932.872,360033.131
La2SiO5,mp-5152,14.450870580000002,6.2711,360112.78,359168.181,360112.78
La3ReO8,mp-504831,34.341714726666666,2.9475,360476.055,349798.297,360476.055
Ta2Cd2O7,mp-5548,81.39895014,3.6851,362366.016,362981.707,362981.707
SrSc2O4,mp-770771,19.25028151333333,5.1469000000000005,356567.182,363809.814,363809.814
Sr2MgMoO6,mp-1078539,19.784278466666667,3.5531999999999995,365216.237,362723.254,365216.237
Ba3CaNb2O9,mp-1214569,55.06059855666667,4.1453,370507.94,368711.253,370507.94
KTcO4,mp-7621,7.498547306666666,4.786,372952.344,368298.998,372952.344
Sr2Nb2O7,mp-3870,22.317179940000003,4.430899999999999,373499.85,342551.042,373499.85
RbTaO3,mp-3033,14.250505673333334,5.176,375438.993,371085.597,375438.993
LaAsO3,mp-1079050,21.33361673,4.0253000000000005,376817.369,371416.014,376817.369
Ba3CaTa2O9,mp-1228141,35.304500063333336,4.7819,377466.551,369403.492,377466.551
Sc2TiO5,mp-753401,18.83277832,4.8826,380446.707,373512.648,380446.707
Ba2LaNbO6,mp-553281,37.10299884,4.5105,383480.149,379749.257,383480.149
Sc2Ti2O7,mp-753802,15.482577213333336,5.3351,383579.814,384675.412,384675.412
LaNbTeO6,mp-557784,17.65051407,4.553,385570.901,342600.291,385570.901
La2TeO6,mp-17350,13.954195636666668,4.738199999999999,381905.723,388028.552,388028.552
Sr3TaGa3(SiO7)2,mp-16136,11.347048856666667,5.7899,390725.552,379982.898,390725.552
La2SO6,mp-4078,14.20944239,6.8456,392318.664,375942.862,392318.664
La2SO2,mp-4511,15.833381726666667,4.2147,395984.172,394242.918,395984.172
Ba2LaTaO6,mp-13055,31.04556681333333,5.1102,396973.523,396880.638,396973.523
Na3Ca2TaO6,mp-18480,12.150508623333334,5.8981,385547.953,397023.914,397023.914
Ba6Na2Nb2P2O17,mp-556637,24.29442302,4.4904,397214.262,385725.594,397214.262
La2GeO5,mp-638261,16.08762364333333,5.770099999999999,399721.233,362015.743,399721.233
KLa2NbO6,mp-554034,12.781956546666668,5.2738,400215.735,388327.978,400215.735
BaLa2O4,mp-755558,16.626319180000003,4.9414,401056.115,399433.201,401056.115
