,mp_id,diel,gap,diel_completed_at,gap_completed_at,completed_at
VCu3Se4,mp-21855,9.38013851,1.707,251993.645,253850.728,253850.728
VAuS2,mp-11193,1.121861153,0.5303,254926.122,255596.009,255596.009
Li4TiS4,mp-766540,11.04868231,3.5546,256586.255,245767.335,256586.255
AsPO4,mp-8140,7.801117317,6.3857,256858.014,254674.509,256858.014
VBO4,mp-754594,7.300541087,4.191,257517.123,257957.035,257957.035
CuO,mp-1692,1.13654096,1.669,255474.984,260728.666,260728.666
VIn(SeO4)2,mp-1191502,13.33491929,3.0576,264469.249,257092.455,264469.249
NaY(Pd3O4)2,mp-1209918,6.50308563,0.4428,261751.139,266534.583,266534.583
CaTiSiO5,mp-6109,52.2664829,4.6569,268722.844,253599.199,268722.844
NaYGeO4,mp-17394,8.619098357,5.5179,268809.919,266924.753,268809.919
V4GeS8,mp-1103812,1.13218268,0.7075,268145.703,270122.405,270122.405
CsTcO4,mp-27250,5.562760747,5.0777,272605.641,266446.907,272605.641
CdCO3,mp-4385,8.534495767,4.7695,274093.207,273870.905,274093.207
AsIrSe,mp-1228810,21.29978369,2.0687,272750.987,277492.851,277492.851
CdAg2GeS4,mp-1197203,10.46568693,1.9852,278140.753,270782.38,278140.753
BaVAsO6,mp-17264,11.97810364,3.8628,278771.771,268116.692,278771.771
Y2GeO5,mp-561441,11.33538405,5.8481,278844.784,240635.858,278844.784
NaPt2Se3,mp-28987,15.26077493,2.0144,279284.307,278825.537,279284.307
V2Zn2O7,mp-17458,9.330395113,3.7598,280870.465,280333.513,280870.465
NaY(SeO3)2,mp-559053,8.958989323,5.6781,280941.606,263592.471,280941.606
V2SnO7,mp-773455,8.05061954,4.0368,281924.513,276876.493,281924.513
BaTiSe3,mp-1079893,13.44942047,0.0,282200.965,283490.507,283490.507
Cd2Tc2O7,mp-1192130,3.00218233,0.0,283073.951,285241.356,285241.356
CdCu2SiS4,mp-6449,9.78861981,2.4254,285484.64,284843.875,285484.64
Cu12As4S13,mp-504753,1.45866261,0.0,285699.758,281221.829,285699.758
Cd4P6SN12,mp-8921,8.83911925,4.5723,286724.982,286480.904,286724.982
SrNb2O6,mp-4591,35.7393426,4.3404,286953.428,277195.206,286953.428
Cd2GaAgS4,mp-6356,9.59023576,2.2508,288986.242,283959.224,288986.242
V2CdO6,mp-550622,11.0487261,3.9451,288977.176,289164.426,289164.426
Tl2Pt2O7,mp-13801,16.61491268,1.9648,293441.028,294960.738,294960.738
Cd2GeO4,mp-3917,9.251016263,2.7672,295628.231,295539.978,295628.231
Cd2SnO4,mp-5966,13.18481925,2.034,291915.273,295939.588,295939.588
Cd3TeO6,mp-14243,16.51352084,2.2232,297760.703,296638.251,297760.703
Tl2PdSe2,mp-28954,3.284126983,0.3386,295350.251,298154.522,298154.522
Cd3Se3O10,mp-542117,9.19642435,4.9018,298170.37,286391.697,298170.37
V2Hg(P2O7)2,mp-505236,10.50020954,2.5782,299021.137,297523.934,299021.137
V3S,mp-555283,1.054990807,0.0,271747.937,299619.254,299619.254
TlSbO3,mp-557787,10.56735488,3.2524,302685.295,301090.406,302685.295
Ti(NbSe2)3,mp-1188631,1.295182543,0.0,303876.577,303034.109,303876.577
Ga2HgSe4,mp-4730,12.95825357,1.8808,303640.825,304026.837,304026.837
TlV2AgO6,mp-18853,12.05879487,3.0478,305773.409,299522.884,305773.409
TlPt2Se3,mp-541487,32.97542156,0.3856,305121.157,305834.131,305834.131
Ti(NbS2)4,mp-1192454,1.21782434,0.0,303775.6,307622.305,307622.305
Ti(CuS)4,mp-29091,10.96841154,2.4874,303914.414,308244.271,308244.271
TlV3O8,mp-18996,22.63368746,2.4,308964.529,297454.229,308964.529
TlSb(PS3)2,mp-1105300,20.29487598,2.5702,309191.17,305797.831,309191.17
TlPd2Se3,mp-7038,1.900126147,0.0,310022.418,311437.166,311437.166
TeO2,mp-2125,17.66439145,3.147,311668.345,310215.031,311668.345
TlSb(PSe3)2,mp-1105142,20.84446973,1.9806,311694.905,306118.27,311694.905
CsSnS3,mp-561710,8.53888883,2.8559,313727.184,311125.677,313727.184
TlInSe2,mp-22232,19.9540865,1.5843,313446.784,313882.67,313882.67
TlV3(SeO6)2,mp-645272,19.75618177,3.4453,314337.394,305444.271,314337.394
Ga2BiSe4,mp-571085,16.55183063,2.8019,314534.655,310685.49,314534.655
Te2O5,mp-12177,13.39833263,2.8066,314644.7,313117.38,314644.7
Cd2Ru2O7,mp-505552,6.85989337,0.2361,315559.032,316768.637,316768.637
AgO,mp-499,1.035891487,0.0,316801.627,317412.877,317412.877
CsTaS3,mp-1225870,10.73791225,0.9231,317731.544,317738.943,317738.943
TlPPbS4,mp-510646,30.70553446,2.6384,318655.431,313447.165,318655.431
NaLiSe,mp-28603,8.394261097,3.5521,319148.74,319240.823,319240.823
Ti(TlSe)4,mp-540940,17.44615567,2.6861,319798.043,301422.436,319798.043
Cd(PtO2)3,mp-8212,16.98543509,1.4693,320295.805,320705.142,320705.142
Cd(GaO2)2,mp-3443,11.15391257,3.3665,318659.446,323329.172,323329.172
Cd3(BO3)2,mp-1192091,8.88120166,3.3994,323358.635,313635.855,323358.635
CsSnSe3,mp-1542038,9.463309203,2.0877,323473.358,323133.583,323473.358
