,mp_id,diel,gap,diel_completed_at,gap_completed_at,completed_at
Ba5Nb4O15,mp-3563,42.37942208,3.8724,575968.824,572311.513,575968.824
Ba2ScNbO6,mp-1206644,47.10114396,4.0765,579405.15,577951.936,579405.15
Ba3Nb2O8,mp-542201,17.997509016666665,6.166,580659.057,571890.51,580659.057
Ba2Ta2O7,mp-770239,42.45742770333333,4.4083,584420.562,556991.859,584420.562
Ba3CaNb2O9,mp-1214569,55.06059855666667,4.1453,584857.966,582759.524,584857.966
Ba2ZrO4,mp-8335,27.75345945666667,4.689500000000001,587315.72,584859.992,587315.72
Ba3MgNb2O9,mp-6474,34.048237863333334,4.1069,587411.32,583144.14,587411.32
BaTiO3,mp-5020,45.86622308333333,3.8175,588565.571,587931.625,588565.571
Ba3SrNb2O9,mp-540949,16.06055379,5.0233,589251.906,576062.939,589251.906
Ba2ScTaO6,mp-1205823,36.61376964,4.6153,591763.282,592167.704,592167.704
Ba2YTaO6,mp-12385,29.98985821333333,5.0415,588273.881,593271.857,593271.857
Ba2Sc2O5,mp-755950,14.74004729,4.3706000000000005,594586.807,589334.161,594586.807
Ba3MgTaNbO9,mp-1228058,28.31792766,4.3593,594849.967,590426.974,594849.967
Ba3CaTa2O9,mp-1228141,35.304500063333336,4.7819,598525.248,595017.141,598525.248
Ba4LiTa3O12,mp-16792,29.306672256666666,4.5280000000000005,600156.129,579403.142,600156.129
Ba2YSbO6,mp-6492,19.80794214,5.6134,600788.796,601062.072,601062.072
Ba3NaNbO6,mp-8960,19.28165299,4.6262,601610.721,598694.401,601610.721
Ba3Nb2ZnO9,mp-7249,41.35922103333333,4.2105,602633.135,600645.085,602633.135
Ba4LiNb3O12,mp-18274,42.86648341333333,3.9385,603931.753,584769.25,603931.753
