,mp_id,diel,gap,diel_completed_at,gap_completed_at,completed_at
ZnSe,mp-1190,9.97737868,2.4743,1288.0279999999984,1729.428,1729.428
BaSe,mp-1253,11.43267516,2.8407,2943.4219999999987,3221.7429999999986,3221.7429999999986
AlSbO4,mp-676861,10.314697283333334,3.53,2307.928,4057.345000000001,4057.345000000001
RbNO2,mp-752580,5.86167639,4.279,4257.342000000001,3324.749,4257.342000000001
RbPt2Se3,mp-14797,11.759846833333334,2.2070000000000003,4686.609,3726.866000000002,4686.609
NaCNO,mp-546500,4.376060296666666,5.9209,2817.508999999998,5804.241999999998,5804.241999999998
K(CuSe)2,mp-567657,1.8731981033333331,0.0,4780.799999999999,6244.471000000001,6244.471000000001
K2O,mp-971,8.97014894,3.1790000000000003,9334.434,9675.144,9675.144
Cs3AlO3,mp-562441,8.58419056,3.9692,11423.056,5602.914000000001,11423.056
Cd(CuO2)2,mp-772099,15.773518746666667,1.7126,6476.239000000001,12553.16,12553.16
Na3AuO2,mp-28365,7.378721453333334,2.9854000000000003,12512.438999999998,13353.326,13353.326
BaLaAgSe3,mp-1101818,14.3802786,2.3292999999999995,15207.902999999998,8980.866000000002,15207.902999999998
Rb3AgSn3Se8,mp-571164,9.281216683333332,2.0588,15269.941,6394.628000000001,15269.941
CdBiO3,mp-755478,20.67497789333333,1.5994000000000006,18943.559,17063.379999999997,18943.559
Ag2TeS3,mp-29163,19.13186338,1.8705,19638.064,15024.961,19638.064
Ba2Hg3(PdO2)7,mp-557269,13.319901926666669,0.0,19943.045,9177.725,19943.045
LaSb5O12,mp-31419,11.970527359999998,4.6409,20153.618,20476.496,20476.496
Na4TiO4,mp-14726,6.204047153333334,4.9379,21267.003,12215.281,21267.003
Ba2SnS4,mp-541832,12.296364513333334,2.9544,22552.987,4843.368999999999,22552.987
BaPS3,mp-11006,8.796071843333333,4.3944,24569.82,19539.986,24569.82
Na2In2SiS6,mp-1190138,7.526794383333334,3.5299000000000005,25392.589,7429.598999999998,25392.589
Au2S,mp-947,7.7658133,2.7947,26549.681,26815.235,26815.235
Bi2TeO6,mp-27251,38.37600117,2.5976,29754.08,28410.539,29754.08
Y2TeO6,mp-17066,12.238279426666669,4.935700000000001,30084.046,20132.171,30084.046
Ba4Na(BiO4)3,mp-559352,39.71154706,1.8204,30820.7,30199.21,30820.7
CsTa(BO3)2,mp-9309,16.274026143333334,5.2807,32774.953,28988.184,32774.953
Na2Ca(SO4)2,mp-6397,6.896676683333332,7.583699999999999,33261.028,29126.634,33261.028
NbCu3S4,mp-5621,7.132473500000001,2.6057,31517.046,33276.438,33276.438
Ba2PbO4,mp-20098,21.533802416666667,2.4077,36233.815,36376.133,36376.133
CoPSe,mp-10368,28.943525493333336,1.5087000000000002,26231.903,37425.804,37425.804
Ba11In6O3,mp-605809,12.412357983333331,0.0,37784.116,32085.634,37784.116
KS,mp-1287,6.05341408,2.6256000000000004,40598.669,38315.414,40598.669
K2Ca3Si3O10,mp-1019747,8.578716246666666,5.8834,42319.279,16671.451999999997,42319.279
KV3(SeO6)2,mp-541520,15.182357823333334,3.565,42554.157,29914.529,42554.157
K2InP2S7,mp-862780,9.567860366666666,3.0649,43356.341,30700.976,43356.341
Cs3Nb2AsSe11,mp-683903,9.91872106,1.8606,43697.333,26102.678,43697.333
Na3PO4,mp-674333,4.520979479999999,5.7531,43959.302,37587.937,43959.302
