,mp_id,diel,gap,diel_completed_at,gap_completed_at,completed_at
Tl2Pd3Se2,mp-1077903,2.96977579,0.0,3603.470000000001,2964.881000000001,3603.470000000001
CdCO3,mp-4385,8.534495766666666,4.7695,5261.526000000002,3484.945,5261.526000000002
NiAsS,mp-3830,1.1781868,0.0,5867.316999999999,4831.677,5867.316999999999
Cs2Ge(TeO4)3,mp-1226191,10.828273823333332,2.0653000000000006,7025.547999999999,5118.456999999999,7025.547999999999
KBS2,mp-15012,6.6996958200000005,3.7611,10421.547,2802.1929999999998,10421.547
RbTa(GeO3)3,mp-540632,9.013513263333332,5.446199999999999,10868.004,7711.369999999999,10868.004
AsRuS,mp-1214786,27.42375412333333,1.6921,11921.616999999998,10013.941,11921.616999999998
Bi2S3,mp-22856,71.58078166,1.89,15151.723000000002,14690.316,15151.723000000002
Li2SnTeO6,mp-8673,13.264181143333332,3.9275,18869.424,13754.837,18869.424
TiTlPS5,mp-1542940,16.466040103333334,1.8878000000000004,19396.997,12122.794999999998,19396.997
Cs4P2PdSe8,mp-866688,7.042161383333334,2.404,20211.789,10402.105,20211.789
Cs3B3Se10,mp-1196535,6.991783976666668,2.7661,22746.513,5200.553,22746.513
HfSiSe,mp-13962,3.663217223333333,0.0,23130.18,22364.349,23130.18
TaPbS2,mp-20985,1.93075448,0.0,24074.43,23797.806,24074.43
P2Pb4SO12,mp-1220066,11.577382143333336,5.184699999999999,26914.251,8204.514,26914.251
Ta3(CuS3)2,mp-1218053,1.3068389333333337,0.0,30916.436,16932.394,30916.436
K2Sn2S5,mp-8965,10.933558466666668,2.4711,31481.706,26381.207,31481.706
Sn5(PO5)2,mp-560715,8.969219720000002,3.4714,35695.523,9431.044999999998,35695.523
Rb2VAgS4,mp-8901,7.366819049999999,2.4825,32392.568,35819.843,35819.843
Li(ZrS2)2,mp-1222722,46.14386949666667,0.0,37390.754,35705.087,37390.754
Ca2Cu2O5,mp-772813,10.76254028,2.7869,40754.081,24976.847,40754.081
Co2HgO4,mp-770995,23.230432713333336,2.6472,32314.747,40764.693,40764.693
GaSbO4,mp-1224786,12.31031959,2.7953,41756.355,42350.646,42350.646
BaS,mp-1500,13.48732108,3.1422,44100.382,44002.057,44100.382
BaTaS3,mp-4001,13.661393753333334,0.0,46980.423,46744.066,46980.423
Sr2YNbO6,mp-6019,28.95841882,4.7689,48117.011,43202.413,48117.011
K4Be3O5,mp-28158,7.9789732266666675,4.9346,48817.076,38341.471,48817.076
Li2B2Se5,mp-30100,10.206848386666667,2.4711,49346.214,43773.816,49346.214
CeO,mp-10688,13.15206325,0.2443000000000008,49782.298,48144.071,49782.298
BAsO4,mp-3277,5.60032543,6.4656,51935.558000000005,50896.463,51935.558000000005
Rb2Cd3Se4,mp-16818,9.08224862,2.4243,56181.183000000005,41033.639,56181.183000000005
Rb4TiO4,mp-771127,7.078961216666667,4.4691,57178.682,45535.92,57178.682
Tl3BSe3,mp-28490,22.60791988,1.5005000000000002,57189.174,55624.705,57189.174
Ba4PtO6,mp-8727,16.132218923333333,3.3393,59045.789,57368.525,59045.789
KLa(PO3)4,mp-540962,7.257924633333332,7.348899999999999,60341.795,31345.253,60341.795
KSrVO4,mp-556966,10.371512916666669,5.2292000000000005,60699.325,47880.459,60699.325
RbGa3S5,mp-558706,8.319958833333333,3.8674,60840.079,44683.566,60840.079
CsCNO,mp-1225916,5.320195573333333,6.049300000000001,60892.243,59638.375,60892.243
Sr2NbInO6,mp-20222,21.415335630000005,5.0375,63775.849,60074.037,63775.849
Na3AuO2,mp-28365,7.378721453333334,2.9854000000000003,64027.894,64413.006,64413.006
Ba2YCu3PbO7,mp-1228257,12.620522406666666,0.0,64645.007,34839.212,64645.007
TlBi(PSe3)2,mp-567864,2.3027553366666664,1.7818999999999998,64833.19,43296.645,64833.19
K2Sn2O3,mp-8624,10.13812452,2.4012,67337.99900000001,65266.574,67337.99900000001
MgGeO3,mp-4819,8.332085273333334,4.5263,67883.409,64574.545,67883.409
Na2ZrO3,mp-990440,13.421799303333332,6.240200000000001,68453.272,66335.807,68453.272
Rb2TeO3,mp-8248,6.673973256666667,4.8715,68974.60500000001,66155.331,68974.60500000001
HfV2O7,mp-505679,12.92303017,3.8967,75050.47,68375.331,75050.47
Na6P4Pb3S16,mp-560831,12.36393729,3.3189,77008.975,52660.249,77008.975
K2LiVO4,mp-558369,7.652026620000001,5.3921,77915.38,75042.232,77915.38
K2O2,mp-2672,6.140830186666667,4.2548,78264.25200000001,77584.599,78264.25200000001
La(SbO3)3,mp-31418,13.83685825,3.3481999999999994,79621.48000000001,74835.489,79621.48000000001
Rb2Be2Si2O7,mp-557027,5.453729736666667,6.32,80938.51000000001,70872.727,80938.51000000001
GePdS3,mp-541785,8.871138683333333,2.4973,83060.868,82227.08600000001,83060.868
AsS2,mp-1191613,15.99107653,1.8377000000000003,84357.33600000001,74992.14199999999,84357.33600000001
Ba6Na2Nb2V2O17,mp-1228103,19.532103903333333,4.280399999999999,84706.474,53071.864,84706.474
Mg2V2O7,mp-27150,10.692832836666662,3.9285,85693.024,80127.344,85693.024
BiAsO4,mp-27911,35.66068860666667,4.8993,88857.959,85414.511,88857.959
K6Co2O7,mp-19141,9.22114548,2.7792,89900.774,67008.122,89900.774
Ca2V2O7,mp-27614,12.374501173333332,4.311699999999999,91209.511,80798.24799999999,91209.511
ZnAgPO4,mp-1193999,7.482974113333333,3.5538,92035.125,84970.325,92035.125
Rb2SnO3,mp-753798,8.79060009,3.9095,92199.612,91024.531,92199.612
Sr2Mg(BO3)2,mp-13541,10.13629466,6.5488,94314.392,92968.282,94314.392
TaNb(Cu3S4)2,mp-1217925,6.939283183333333,2.7188,93053.784,94700.989,94700.989
KPPdS4,mp-866637,8.161941606666668,2.7157,95925.481,92371.146,95925.481
NaSbS2,mp-5414,20.611792426666668,1.2630999999999997,97129.159,96222.483,97129.159
K3AsS3,mp-1193111,7.226817350000001,3.5878,97445.022,93948.623,97445.022
Sc2TlCu3S5,mp-1209018,22.49619374666667,1.9831000000000003,98114.882,89661.982,98114.882
ScVO4,mp-19247,17.963514406666665,3.966,100630.009,100761.861,100761.861
Hg2SO4,mp-7461,11.96256057,3.8769,100871.658,98816.267,100871.658
Cu2HgGeS4,mp-10952,23.48088326,1.1251999999999995,101620.753,103706.592,103706.592
RbBS2,mp-15013,5.999258963333333,3.8444,104201.897,98236.997,104201.897
ZrSnS3,mp-17324,22.69416608666667,1.4201999999999997,105523.659,103393.457,105523.659
Rb2Sb4O11,mp-558023,9.528384126666666,3.6569,106364.447,93790.655,106364.447
BiBPbO4,mp-556601,15.625579003333335,3.8634,106565.809,97343.06,106565.809
Zr6FeS2,mp-1207526,8.223481876666668,0.0,106619.118,90010.725,106619.118
BiPdSe,mp-1095370,1.33214967,0.0,107359.824,107056.806,107359.824
