,mp_id,diel,gap,diel_completed_at,gap_completed_at,completed_at
Tl2Rh3S2,mp-1077922,1.802603486666667,0.0,127840.217,127455.983,127840.217
Na2VPO6,mp-559869,5.95088635,4.7845,128398.382,105344.217,128398.382
KLi3GeO4,mp-18002,8.581994819999995,5.9423,128647.453,83952.042,128647.453
BaTiO3,mp-5020,45.86622308333333,3.8175,129790.37,129190.678,129790.37
Rb4P2Se9,mp-569862,7.271300026666666,2.4221,131382.878,117480.489,131382.878
Cd2Ru2O7,mp-505552,6.859893369999999,0.2360999999999999,133905.771,134472.13199999998,134472.13199999998
VS4,mp-541155,8.143122203333332,1.4981999999999998,134650.318,130503.507,134650.318
K2S,mp-1022,5.978433819999999,3.415,135417.077,135149.28100000002,135417.077
K3SnSe3,mp-541875,9.38146482,2.597,139000.092,118449.474,139000.092
RbPSe6,mp-17945,11.166146816666664,2.5835,139502.059,134103.14500000002,139502.059
Cs2HgO2,mp-7232,7.19098373,3.5341,140208.566,140219.449,140219.449
Rb4SnO4,mp-7118,7.104182149999998,3.8607,146684.022,137861.6,146684.022
YAlGeO5,mp-540905,11.526853246666668,5.8698,146772.91700000002,134594.903,146772.91700000002
Sr3(AsO4)2,mp-755082,18.18006126,5.936,147476.636,146073.305,147476.636
Rb8Ta6O19,mp-1209439,6.852180933333333,5.1605,148134.658,130626.272,148134.658
In2Pt2O7,mp-755116,11.530944220000002,3.8535,149254.285,147092.011,149254.285
Sr2CaMoO6,mp-19116,19.02709683,3.7678,152155.548,148086.798,152155.548
Pd3S,mp-558378,1.3337933933333332,0.0,154253.934,152781.43099999998,154253.934
Ca2Sn3O8,,9.102694353333334,4.248899999999999,156961.03,154473.443,156961.03
Ba2InBiS5,mp-864638,22.56447082,2.2817,157927.762,143967.712,157927.762
Tl3B3S10,mp-17823,17.588025393333336,2.8917999999999995,159493.66999999998,142366.12699999998,159493.66999999998
ZrSe2,mp-2076,48.05965377666666,0.9289000000000004,160008.633,159369.24300000002,160008.633
Ta6TiTl2O18,mp-1218099,36.861560286666666,4.6067,162767.245,107694.547,162767.245
KBa4Bi3O,mp-23571,16.776924066666666,1.3392000000000004,165222.229,158533.29499999998,165222.229
CdSeO3,mp-559203,7.268332406666667,5.1544,166069.256,150970.427,166069.256
Cs3TlO3,mp-756122,9.980033346666666,3.071,169655.829,155491.928,169655.829
BaSi6N8O,mp-557414,12.59160982,5.635599999999999,174164.801,164475.321,174164.801
AgAsPbS3,mp-22665,24.10349301666667,1.8295000000000003,176193.308,167143.958,176193.308
BaNb4O6,mp-505517,11.160675333333334,0.0,177572.252,177267.933,177572.252
Na5TaO5,mp-8957,7.006117616666666,4.0844000000000005,178310.711,169862.228,178310.711
Ag4HgGe2S7,mp-542199,15.082909713333333,1.6159,182317.411,152154.734,182317.411
Ba2TaTlO6,mp-1205650,34.00360232,4.0105,183071.718,183015.766,183071.718
Na2Mo2Se2O11,mp-1195277,14.97064233,3.9973,185798.719,169047.101,185798.719
Ca2PbO4,mp-21137,13.058541989999998,2.7223,187105.573,184445.499,187105.573
In2Ge2O7,mp-5280,11.264099343333337,3.8137,189012.339,188168.54,189012.339
MoPb2O5,mp-21138,12.394943756666668,3.7909,189902.669,170356.412,189902.669
K7Ta(SO4)6,mp-17455,7.422032950000001,5.2882,193410.073,127551.721,193410.073
Sn2Sb2Pb4O13,mp-1219056,18.80887539333333,2.3336999999999994,195860.296,190284.475,195860.296
KCu2AsS3,mp-554421,12.833171196666664,2.0187,196169.701,177581.699,196169.701
Ag2HgO2,mp-29816,11.298208166666663,1.2552999999999996,201128.527,198120.749,201128.527
Ba2Y(CuO2)4,mp-6790,11.093096846666668,0.0,202656.644,173679.151,202656.644
Sr2GeO4,mp-542085,11.590267270000002,5.5348,208364.379,197075.002,208364.379
YAgO2,mp-30250,10.429192383333334,4.0019,209835.276,208322.186,209835.276
NaV3O8,mp-752972,18.296542700000003,2.8488,210979.289,185988.237,210979.289
Cs2Cu5Se4,mp-28467,13.485610243333332,0.0,208127.655,211649.567,211649.567
