,mp_id,diel,gap,diel_completed_at,gap_completed_at,completed_at
CsNO2,mp-3288,5.530088393333333,4.246,449031.881,447689.091,449031.881
Sr(CuO)2,mp-13900,13.03458504,3.0822,445648.859,449059.342,449059.342
Na6S2O9,mp-16180,4.93262158,4.6494,449451.896,448103.163,449451.896
Sr(AlSe2)2,mp-8422,8.987607783333333,4.1263,449585.455,446040.787,449585.455
Ag3AsS4,mp-9538,12.899229463333333,1.3816999999999997,451440.983,447232.044,451440.983
ScTlP2S7,mp-1095287,14.410282700000002,3.2371,452639.148,446140.806,452639.148
Sr(AuO2)2,mp-9298,9.78050442,3.2331000000000003,452640.893,450133.96,452640.893
Si(PbSe2)2,mp-27532,16.402975676666667,2.1141,453639.216,443549.374,453639.216
ScS,mp-1476,1.21980327,0.0,452879.226,453780.609,453780.609
Si(PbS2)2,mp-504564,19.73754596333333,2.9139,454638.361,445968.165,454638.361
ScBO3,mp-8697,14.515656763333332,6.3665,456019.185,454934.032,456019.185
SnS,mp-2231,34.085052296666674,1.0221999999999998,455753.122,456615.162,456615.162
ScCuO2,mp-3642,13.41674878,3.7138,454205.552,457726.851,457726.851
Ag2Hg2(TeO4)3,mp-553949,16.199867243333333,1.1058000000000003,460114.586,446713.331,460114.586
SnO,mp-2097,17.1595011,0.2965,460661.992,460963.166,460963.166
Ag3AsS3,mp-561620,12.492618673333332,2.4601999999999995,462259.19,456712.215,462259.19
Na4Sn(GeS3)2,mp-1221151,13.646302046666667,2.6315000000000004,463474.551,453387.321,463474.551
Sn5(PO5)2,mp-560715,8.969219720000002,3.4714,464075.2,437910.054,464075.2
ScCuSe2,mp-1219343,20.6480341,1.3331999999999995,460161.961,464659.849,464659.849
CsLiZnS2,mp-1225887,8.9188923,3.9202,466966.348,461766.995,466966.348
Ag3O4,mp-1605,1.0421733466666667,0.0,464544.128,467070.448,467070.448
Sn15Os3O14,mp-28456,15.816253283333332,2.470299999999999,468601.333,417883.534,468601.333
Sc2TiO5,mp-753401,18.83277832,4.8826,470760.177,466624.085,470760.177
NaTi2Al5O12,mp-560591,20.32449257333333,4.4277,474482.742,460190.996,474482.742
Ge3(SbO3)4,mp-1201722,11.54943219,4.6610000000000005,475143.668,464812.316,475143.668
In2HgSe4,mp-20731,13.477127096666663,1.4196999999999995,475506.555,471313.457,475506.555
Sn5O6,mp-978114,11.80652418,2.2707000000000006,477687.559,470624.528,477687.559
K3CaPCO7,mp-756968,7.262287079999999,6.2363,478067.867,469710.076,478067.867
SnGeS3,mp-5045,14.659869653333333,2.1307,480741.603,475886.058,480741.603
Sn3TePb4O13,mp-1219089,18.870064226666667,2.1899000000000006,483254.996,475605.408,483254.996
Sc2CdS4,mp-10953,16.10650468,1.9455000000000005,487210.416,485119.307,487210.416
CsLiSO4,mp-6726,5.52223326,7.3095,487259.401,479438.83,487259.401
Ga2PbO4,mp-20496,10.88857027,4.691,487931.04,485736.338,487931.04
SiS2,mp-1602,4.983943393333333,4.0711,487940.559,487339.558,487940.559
Sn(PS3)2,mp-36381,9.54384614,2.1944,490236.06,484137.488,490236.06
SrLaTl(AsO4)2,mp-685195,18.47624035333333,5.3332,490529.553,451364.03,490529.553
Sn(HgSe2)2,mp-10955,21.23683001666667,0.9501,491884.984,484468.711,491884.984
Sn3Ir2Se3,mp-1194504,21.27733655333333,1.0891000000000002,492499.938,475070.627,492499.938
Sc2O3,mp-216,16.59347878,5.7089,492844.349,489356.607,492844.349
Na4SeO5,mp-29871,8.091234636666671,3.229,496021.014,470251.905,496021.014
SbPO5,mp-9750,7.11230071,4.5622,496201.777,494610.648,496201.777
SbPO4,mp-3439,16.005081133333334,5.3175,497620.352,495657.939,497620.352
Na4Mn2O5,mp-18869,8.515976516666667,2.1303,490798.162,500207.879,500207.879
