,mp_id,diel,gap,diel_completed_at,gap_completed_at,completed_at
NiAsS,mp-3830,1.1781868,0.0,2845.3009999999995,4489.792000000001,4489.792000000001
Tl2Pd3Se2,mp-1077903,2.96977579,0.0,4638.274000000001,3841.973000000002,4638.274000000001
CdCO3,mp-4385,8.534495766666666,4.7695,5341.441999999999,4094.166000000001,5341.441999999999
Cs2Ge(TeO4)3,mp-1226191,10.828273823333332,2.0653000000000006,9537.34,7033.558000000001,9537.34
RbTa(GeO3)3,mp-540632,9.013513263333332,5.446199999999999,12446.026000000002,8154.666000000001,12446.026000000002
KBS2,mp-15012,6.6996958200000005,3.7611,12875.837,3933.008999999998,12875.837
AsRuS,mp-1214786,27.42375412333333,1.6921,13470.931,11247.898,13470.931
NiAsSe,mp-10846,1.26429027,0.0,14978.544000000002,17565.067,17565.067
VAuS2,mp-11193,1.1218611533333334,0.5302999999999995,17960.647,17801.207000000002,17960.647
CoAgO2,mp-19178,12.621454766666668,2.7156,18926.947,16900.366,18926.947
Cs3B3Se10,mp-1196535,6.991783976666668,2.7661,23214.785,5144.713,23214.785
P2Pb4SO12,mp-1220066,11.577382143333336,5.184699999999999,23689.287,7969.701000000001,23689.287
LaZnAsO,mp-549589,23.17800423,1.327,26039.254,24876.42,26039.254
Ta3(CuS3)2,mp-1218053,1.3068389333333337,0.0,26593.979,15971.09,26593.979
Cs2AgSbS4,mp-510710,7.934364473333332,2.4975,29324.79,25090.033,29324.79
RbTcO4,mp-975115,5.107333053333333,4.9333,30479.128,25256.137,30479.128
Sr4Bi2O,mp-1218382,22.04858731333333,1.4730000000000003,32799.2,26090.372,32799.2
PtS,mp-288,16.344175386666667,1.7592,33464.759,33284.603,33464.759
GaAgS2,mp-5342,10.118942276666663,2.2125,34858.211,34914.125,34914.125
Ni3Se4,mp-1120781,1.05669564,0.0,36002.195,32370.056,36002.195
Na2GaPCO7,mp-768120,5.999698033333334,6.0345,36640.099,29698.591,36640.099
Sn5(PO5)2,mp-560715,8.969219720000002,3.4714,36715.901,11223.841,36715.901
Ca(AlSe2)2,mp-36988,10.58019902,3.8046,37915.603,34155.31,37915.603
MgTa2O6,mp-9650,28.704156063333333,4.363899999999999,39774.088,40349.318,40349.318
Ca2Cu2O5,mp-772813,10.76254028,2.7869,40792.89,23865.539,40792.89
Sb2S3,mp-2809,46.99526233,1.7475000000000005,40952.198,41177.808000000005,41177.808000000005
AlAgO2,mp-9631,10.503216023333334,2.971000000000001,41307.933000000005,40751.198,41307.933000000005
Hf3Tl2(CuSe4)2,mp-570700,31.636105586666663,1.2771,41329.045,40407.832,41329.045
GaSbO4,mp-1224786,12.31031959,2.7953,41936.527,43050.516,43050.516
Ga2Se3,mp-1340,11.330864176666664,2.0971,43393.935,40443.172,43393.935
Ni3(BiSe)2,mp-30973,1.11109251,0.0,45560.116,38258.725,45560.116
TlPt2S3,mp-9272,23.215861069999995,1.2994000000000003,45411.212,45862.8,45862.8
Y3GeS2,mp-1216054,2.058145413333333,0.0,45894.857,44454.436,45894.857
Ni9S8,mp-976920,1.0198096266666667,0.0,46817.929,40500.887,46817.929
LiNbO2,mp-3924,14.307234013333332,2.3572999999999995,46777.809,47373.652,47373.652
CoSe2,mp-20862,2.800252673333333,0.0,41312.474,48456.912,48456.912
SrTeO4,mp-4274,8.798472929999999,4.014099999999999,49519.497,45938.488,49519.497
BaCu2SnSe4,mp-12364,13.962228023333337,1.5044000000000004,51454.069,50396.779,51454.069
Bi2S2O,mp-1078366,69.77798212333333,1.3568999999999996,54663.12,53512.017,54663.12
HfGeSe,mp-7917,1.8799373333333331,0.1657000000000001,55028.572,54849.227,55028.572
Cr4AgBiO14,mp-23565,21.886888863333333,2.9748,56253.217,50202.096000000005,56253.217
Cr5S8,mp-1181961,1.1524446933333334,0.0,47356.16,60593.744,60593.744
BaPS3,mp-11006,8.796071843333333,4.3944,64140.312000000005,57524.717,64140.312000000005
La3CuSiSe7,mp-568082,14.96303385,2.3761,64155.299,59454.837,64155.299
RbAgO2,mp-997052,6.381396493333334,2.7806,67786.94,67860.599,67860.599
Y2Te5O13,mp-554852,13.52601821333334,4.164199999999999,67920.949,37916.936,67920.949
MgSe2O5,mp-16771,8.96258019,4.2255,68116.744,60180.287,68116.744
La3CuGeS7,mp-582767,15.280705826666663,2.7723999999999998,69414.283,69258.947,69414.283
TlZnPO4,mp-18168,12.4853486,5.2193000000000005,69438.318,50731.388,69438.318
ReBiO4,mp-27360,1.678173693333333,0.0,69894.81,63593.623,69894.81
Ba2YCu3PbO7,mp-1228257,12.620522406666666,0.0,71580.254,32607.792,71580.254
TiCdO3,mp-13641,20.43797825333333,4.6414,72782.007,70643.889,72782.007
LaCuO2,mp-20072,12.022229466666666,3.926,73421.67,73407.57800000001,73421.67
Li8TiS6,mp-753546,7.744482983333334,3.5062,73684.098,68593.582,73684.098
Ti2O3,mp-458,1.00051971,0.0,73783.09599999999,74717.478,74717.478
Na8Si6SnO18,mp-560597,8.121330883333332,5.8711,75370.37299999999,72581.323,75370.37299999999
CsB3O5,mp-3977,5.438779143333333,7.306,75929.837,66950.91,75929.837
BaNb5O8,mp-761128,8.892553233333334,0.0,76630.148,74940.305,76630.148
Bi2S3,mp-22856,71.58078166,1.89,76647.612,75977.179,76647.612
La(SbO3)3,mp-31418,13.83685825,3.3481999999999994,81196.402,76209.724,81196.402
Ba3ZnRu2O9,mp-17137,18.55905573333333,1.8786,84191.554,76603.875,84191.554
TeO2,mp-2125,17.664391446666666,3.147,84281.156,82092.774,84281.156
KYGeS4,mp-867334,10.926997983333331,3.5048,84294.888,74030.818,84294.888
La3CuSiS7,mp-504650,15.347310633333333,2.721399999999999,90767.699,86532.595,90767.699
LiTa3O8,mp-7638,26.03269698333333,4.8629,91240.286,86869.669,91240.286
TaCuS3,mp-3102,24.00710017333333,1.0613,92824.215,89936.925,92824.215
KGaS2,mp-17650,8.98294015,3.9571,94698.611,76476.351,94698.611
CoAsSe,mp-505511,34.20109428666667,1.0385,85343.168,95461.492,95461.492
Bi2Mo2Se2O13,mp-1200193,27.33177544,3.886600000000001,95779.698,64533.9,95779.698
